,address,store,number,geometry.type,longtitude,latitude
205,"80-27 37th Ave
Jackson Heights, NY 11372",Caffe Bene,53,Point,-73.88546199999999,40.7497443
206,"85-36 Grand Ave
Elmhurst, NY 11373",Summer,52,Point,-73.88091399999999,40.735356
207,"6731 Bay Pkwy
Bensonhurst, NY 11204",ViVi Bubble Tea,52,Point,-73.9830197,40.6118877
208,"208 W 23rd St
New York, NY 10011",Avalon New York,51,Point,-73.99643209999999,40.7440535
209,"217 Thompson St
New York, NY 10012",Debutea,51,Point,-73.99932439999999,40.729175
210,"99 Chrystie St
New York, NY 10002",Feng Cha,51,Point,-73.9942284,40.7179102
211,"2108 Bath Ave
Brooklyn, NY 11214",Let’s Dessert,51,Point,-73.9993193,40.5997029
212,"183 Hester St
New York, NY 10013",Vivi Bubble Tea,51,Point,-73.9974077,40.7181196
213,"15-26 College Point Blvd
College Point, NY 11356",Mango Mama,51,Point,-73.846125,40.783467
214,"64 7th Ave
New York, NY 10011",Momentea,48,Point,-73.9997526,40.7387987
215,"41-12 162nd St
Flushing, NY 11358",Coffee Monster,48,Point,-73.80401429999999,40.7610343
216,"790 Manhattan Ave
Brooklyn, NY 11222",ViVi Bubble Tea,48,Point,-73.9527667,40.7276601
217,"136-55 Roosevelt Ave
Flushing, NY 11354",Momo Ashi,48,Point,-73.8281679,40.7602824
218,"38-03 Main St
Flushing, NY 11354",Moge Tee,48,Point,-73.830445,40.7608091
219,"5918 5th Ave
Brooklyn, NY 11220",Sweet Dynasty,48,Point,-74.0161723,40.6398227
220,"17637 Union Tpke
Fresh Meadows, NY 11366",Poke Coffee,47,Point,-73.792292,40.72586800000001
221,"41-11 Kissena Blvd
Flushing, NY 11355",Kung Fu Tea,47,Point,-73.8288238,40.7583521
222,"118 W 72nd St
New York, NY 10023",Coco Fresh Tea & Juice,46,Point,-73.97967419999999,40.77740989999999
223,"19 Bogart St
Brooklyn, NY 11206",Ozi Dumplings,46,Point,-73.93319199999999,40.703888
224,"160 E 44th St
New York, NY 10017",Gong Cha,44,Point,-73.9739606,40.7520891
225,"65 W 8th St
New York, NY 10011",Vivi Bubble Tea,44,Point,-73.99921499999999,40.7335934
226,"143-01 45th Ave
Flushing, NY 11355",Sweet Haus Cafe,44,Point,-73.8183937,40.7540285
227,"82-02 Rooselvelt Ave
Jackson Heights, NY 11372",Kung Fu Tea,43,Point,-73.88372660000002,40.7474573
228,"44 Willoughby St
Downtown Brooklyn, NY 11201",Hawa Smoothies & Bubble Tea,43,Point,-73.9870662,40.6920952
229,"94-19 63rd Dr
Rego Park, NY 11374",Tasty & Co,43,Point,-73.8630946,40.7292664
230,"37A Bedford St
New York, NY 10014",Luv Tea,43,Point,-74.0039314,40.7296557
231,"2037 86th St
Brooklyn, NY 11214",PokéBowl Station,43,Point,-73.99710920000001,40.604173
232,"4823 8th Ave
Brooklyn, NY 11220",T Baar,42,Point,-74.00283209999999,40.6416128
233,"9 Edward M Morgan Pl
New York, NY 10032",Caffebene,42,Point,-73.9452264,40.8346252
234,"9 Broadway
New York, NY 10004",Kung Fu Tea,42,Point,-74.0142069,40.7051869
235,"57th St & 8th Ave
Under Columbus Cir
New York, NY 10019",Turnstyle,41,Point,-73.9828696,40.766736
236,"2425 Broadway
New York, NY 10024",Ollie’s To Go,41,Point,-73.9751574,40.7904714
237,"2568 Broadway
New York, NY 10025",Paris Baguette,41,Point,-73.9710102,40.7950446
238,"40-06 Union St
Flushing, NY 11354",Gong Cha,41,Point,-73.82656419999999,40.7601904
239,"2236 Forest Ave
Ste 3
Staten Island, NY 10303",Yummy Machi,40,Point,-74.16422759999999,40.6262665
240,"6047 Myrtle Ave
Ridgewood, NY 11385",Ama Coffee,40,Point,-73.8966324,40.7007901
241,"273 W 38th St
New York, NY 10018",New Li Yuan,40,Point,-73.99110639999999,40.7546846
242,"378 Canal St
New York, NY 10013",Caffe Bene,39,Point,-74.00445470000001,40.721011
243,"79 Division St
New York, NY 10002",Coco Fresh Tea & Juice,39,Point,-73.9938025,40.7141342
244,"12 John St
New York, NY 10038",CoCo Fresh Tea & Juice,39,Point,-74.0091249,40.7098261
245,"3504 30th Ave
Astoria, NY 11103",Sunberi Frozen Yogurt & Crepe,39,Point,-73.918145,40.765087
246,"135-15 40th Rd
Flushing, NY 11354",YiFang Taiwan Fruit Tea,38,Point,-73.83102819999999,40.758735
247,"6 S Station Plz
Great Neck Plaza, NY 11021",Vivi Bubble Tea,38,Point,-73.7264005,40.78688959999999
